_id,PX,MAIN_STREET,MIDBLOCK_ROUTE,SIDE1_STREET,SIDE2_STREET,PRIVATE_ACCESS,ADDITIONAL_INFO,ACTIVATIONDATE,SIGNALSYSTEM,NON_SYSTEM,CONTROL_MODE,PEDWALKSPEED,APS_OPERATION,NUMBEROFAPPROACHES,OBJECTID,GEO_ID,NODE_ID,AUDIBLEPEDSIGNAL,TRANSIT_PREEMPT,FIRE_PREEMPT,RAIL_PREEMPT,MI_PRINX,BICYCLE_SIGNAL,UPS,LED_BLANKOUT_SIGN,LPI_NORTH_IMPLEMENTATION_DATE,LPI_SOUTH_IMPLEMENTATION_DATE,LPI_EAST_IMPLEMENTATION_DATE,LPI_WEST_IMPLEMENTATION_DATE,LPI_COMMENT,geometry
1092,1095,FINCH AVE W,None,400 S FINCH W RAMP,None,None,S/B OFF RAMP,1974-06-14T04:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,1092,440965,13450029,,,,,1092,,1,,,,,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.5327659994544, 43.754028995667944]]}"
1093,1096,WESTON RD,None,LANYARD RD,None,None,None,1974-12-18T05:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,1093,30096169,13450908,,,,,1093,,,,,,,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.5416080046444, 43.74823299936188]]}"
1094,1097,RICHMOND ST W,None,PORTLAND ST,None,None,None,1975-12-05T05:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,1094,1146265,13467277,,1,,,1094,,,,2023-10-16T04:00:00,2023-10-16T04:00:00,2023-10-16T04:00:00,2023-10-16T04:00:00,None,"{'type': 'MultiPoint', 'coordinates': [[-79.40112700320631, 43.64697200056681]]}"
1095,1098,MIDLAND AVE,None,MARCOS BLVD,ROMULUS DR,None,None,1975-06-06T04:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,1095,110315,13450601,1,,,,1095,,,,2023-04-18T04:00:00,2023-04-18T04:00:00,2023-04-18T04:00:00,2023-04-18T04:00:00,Activated for 2023 Vision Zero - All Directions,"{'type': 'MultiPoint', 'coordinates': [[-79.26308100410881, 43.74637699960477]]}"
1096,1099,YONGE ST,None,NORTH YORK BLVD,ELMWOOD AVE,None,None,1978-10-30T04:00:00,SCOOT,None,SA2,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,4,1096,14067766,14067768,1,,,,1096,,,,2019-07-31T04:00:00,2019-07-31T04:00:00,,,East & West: Crosswalk,"{'type': 'MultiPoint', 'coordinates': [[-79.41224699879247, 43.76668699880711]]}"
1097,1100,YONGE ST,None,ELMHURST AVE,GREENFIELD AVE,None,None,1975-07-17T04:00:00,SCOOT,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,1097,439674,13448470,1,,,,1097,,,,,,,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.41137799673335, 43.7632620005318]]}"
1098,1101,YONGE ST,None,KEMPFORD BLVD,None,None,None,1975-07-17T04:00:00,SCOOT,None,SAP,0.9 m/s (FDW based on full crossing @ 1.1 m/s),None,3,1098,7131531,13446504,,,,,1098,,,,2021-03-09T05:00:00,2021-03-09T05:00:00,,2021-03-09T05:00:00,None,"{'type': 'MultiPoint', 'coordinates': [[-79.41484900587173, 43.776945996892096]]}"
1099,1102,ALBION RD,None,THISTLE DOWN BLVD,RIVERDALE DR,None,None,1974-08-27T04:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1099,10985942,13453013,-1,,,,1099,,,,,,,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.56139000078866, 43.73535600112098]]}"
1100,1103,DANFORTH RD,42m NORTH OF,HART AVE,None,None,None,1974-10-12T04:00:00,TransSuite,None,PA - MPS,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,2,1100,30015906,,1,,,,1100,,,,,,,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.25847099968965, 43.71913799900986]]}"
1101,1104,THE WEST MALL,None,EVA RD,PRIVATE ACCESS,None,None,1975-04-30T04:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1101,3086213,13468530,,,,,1101,,,,2020-11-04T05:00:00,2020-11-04T05:00:00,2020-11-04T05:00:00,2020-11-04T05:00:00,LPI in all directions,"{'type': 'MultiPoint', 'coordinates': [[-79.56481799590583, 43.63934200247439]]}"
1102,1105,EGLINTON AVE E,None,DVP S EGLINTON RAMP,EGLINTON DVP S RAMP,None,WEST INTERSECTION,1975-02-10T05:00:00,SCOOT,None,SA2,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",None,3,1102,444496,13454454,,,,,1102,,1,,,,,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.33202400232001, 43.72258800222431]]}"
1103,1106,EGLINTON AVE E,None,DVP N EGLINTON RAMP,EGLINTON E DVP N RAMP,None,EAST INTERSECTION,1975-02-10T05:00:00,SCOOT,None,SA2,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",None,3,1103,444340,13454313,,,,,1103,,1,,,,,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.32849499907616, 43.723567002714596]]}"
1104,1107,DON MILLS RD,None,CLIFFWOOD RD,None,None,None,1975-04-06T04:00:00,TransSuite,None,SA2,0.9 m/s (FDW based on full crossing @ 1.1 m/s),None,4,1104,436255,13442848,,,,,1104,,,,2021-04-15T04:00:00,2021-04-15T04:00:00,2021-04-15T04:00:00,2021-04-15T04:00:00,None,"{'type': 'MultiPoint', 'coordinates': [[-79.35685199536017, 43.80702899914945]]}"
1105,1108,SHEPPARD AVE E,None,MORNINGSIDE AVE,None,None,None,1974-01-11T05:00:00,SCATS,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1105,30073545,13443095,,,,,1105,,,,,,,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.19977100491448, 43.80197399665488]]}"
1106,1109,BRIMLEY RD,None,SHEPPARD AVE E,None,None,None,1974-12-18T05:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,1106,4840625,13444901,1,,,,1106,,,,,,,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.2683120020511, 43.78757800255161]]}"
1107,1110,MIDLAND AVE,None,HUNTINGWOOD DR,None,None,None,1974-02-05T05:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,1107,105382,13443751,1,,,,1107,,,,2024-07-09T04:00:00,2024-07-09T04:00:00,2022-07-13T04:00:00,2022-07-13T04:00:00,None,"{'type': 'MultiPoint', 'coordinates': [[-79.28343600370478, 43.79705900435331]]}"
1108,1111,KENNEDY RD,None,HUNTINGWOOD DR,None,None,None,1973-12-21T05:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1108,5070474,13444019,,,,,1108,,,,,,,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.29345099841012, 43.795149995845065]]}"
1109,1112,MORNINGSIDE AVE,None,MILITARY TRL,None,None,None,1975-05-23T04:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1109,14624107,13444536,,,,,1109,,,,2020-08-10T04:00:00,2020-08-10T04:00:00,,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.19435600566001, 43.78927700298415]]}"
1110,1113,VICTORIA PARK AVE,None,MORECAMBE GT,PAWNEE AVE,None,None,1975-06-17T04:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1110,105594,13443726,,,,,1110,,,,2020-12-03T05:00:00,2020-12-03T05:00:00,2020-12-03T05:00:00,2020-12-03T05:00:00,None,"{'type': 'MultiPoint', 'coordinates': [[-79.3336329960647, 43.798051004373896]]}"
1111,1114,BLOOR ST W,None,MARKLAND DR,None,None,WEST INTERSECTION,1974-07-19T04:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,1111,30072721,13469403,1,,,,1111,,,,2021-08-19T04:00:00,2021-08-19T04:00:00,2021-08-19T04:00:00,2021-08-19T04:00:00,None,"{'type': 'MultiPoint', 'coordinates': [[-79.57982700389942, 43.629291001605374]]}"
1112,1115,STEELES AVE W,None,HILDA AVE,None,None,None,1974-12-16T05:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,1112,436665,13444138,1,,,,1112,,,,,,,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.42926700089708, 43.7960069972925]]}"
1113,1116,KINGSTON RD,None,RIDGEMOOR AVE,SHARPE ST,None,None,1975-07-23T04:00:00,SCATS,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,1113,30076789,13456826,1,,,,1113,,,,2022-12-12T05:00:00,2022-12-12T05:00:00,2022-12-12T05:00:00,2022-12-12T05:00:00,None,"{'type': 'MultiPoint', 'coordinates': [[-79.25129199394433, 43.706340996478055]]}"
1114,1117,DUNDAS ST E,None,MUNRO ST,None,None,None,1975-12-08T05:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,1114,6388011,13464720,,1,,,1114,,,,,,,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.35308499499573, 43.662077003368836]]}"
1115,1118,BAYVIEW AVE,None,MCKEE AVE,None,None,None,1974-05-07T04:00:00,SCOOT,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,1115,4807577,13446302,,,,,1115,,,,,,,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.39061499541413, 43.77804200286745]]}"
1116,1119,VICTORIA PARK AVE,None,PATRICK BLVD,None,None,None,1975-08-14T04:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,1116,10179959,13446226,,,,,1116,,,,2020-12-04T05:00:00,2020-12-04T05:00:00,,2020-12-04T05:00:00,None,"{'type': 'MultiPoint', 'coordinates': [[-79.32416999668087, 43.7777429980216]]}"
1117,1120,LESLIE ST,None,MAROWYNE DR,None,None,None,1975-07-28T04:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,1117,438307,13446677,1,,,,1117,,,,2021-02-19T05:00:00,2021-02-19T05:00:00,2021-02-19T05:00:00,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.3645929998398, 43.77484300028262]]}"
1118,1121,EGLINTON AVE W,None,VESTA DR,None,None,None,1975-05-21T04:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1118,8141079,13457927,,,,,1118,,,,,,,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.42089000283997, 43.701999995781236]]}"
1119,1122,KENNEDY RD,None,CORVETTE AVE,None,None,None,1971-09-23T04:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,1119,111632,13453966,,,,,1119,,,,,,,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.26498500469333, 43.725263998779525]]}"
1120,1123,LAWRENCE AVE W,None,DUFFLAW RD,None,None,None,1975-05-26T04:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,1120,8292762,13456252,,,,,1120,,,,2023-12-15T05:00:00,,2021-01-27T05:00:00,2021-01-27T05:00:00,None,"{'type': 'MultiPoint', 'coordinates': [[-79.46087399500436, 43.71275399770019]]}"
1121,1124,BERMONDSEY RD,None,BARTLEY DR,None,None,None,1975-03-09T05:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1121,444967,13454817,,,,,1121,,,,2021-12-22T05:00:00,2021-12-22T05:00:00,,,LPI is on North & South crosswalks.,"{'type': 'MultiPoint', 'coordinates': [[-79.31451500589507, 43.71968299772929]]}"
1122,1125,EGLINTON AVE E,35m EAST OF,DONLEA DR,None,LEASIDE HIGH SCHOOL,None,1975-03-10T04:00:00,TransSuite,None,PA - MPS,1.0 m/s (FDW based on full crossing @1.2m/s),None,2,1122,11915528,,,,,,1122,,,,,,,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.37307000114717, 43.71191999914493]]}"
1123,1126,WESTON RD,None,ERNEST DOCKRAY AVE,None,None,None,1975-05-14T04:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,1123,9856958,13460140,,,,,1123,,,,,,,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.49869200222122, 43.69037900285588]]}"
1124,1127,JANE ST,None,CLAIR RD,SPENVALLEY DR,None,None,1975-02-07T05:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1124,442708,13451997,,1,,,1124,,,,,,,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.51368500483268, 43.74123999673876]]}"
1125,1128,SHEPPARD AVE W,None,RIVALDA RD,PRIVATE ACCESS,None,None,1975-02-18T05:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,1125,9035789,13453059,1,,,,1125,,,,2021-01-08T05:00:00,2021-01-08T05:00:00,2021-01-08T05:00:00,2021-01-08T05:00:00,None,"{'type': 'MultiPoint', 'coordinates': [[-79.53395499977184, 43.73467000155648]]}"
1126,1129,BATHURST ST,None,LAURELCREST AVE,RAEBURN AVE,None,None,1974-06-27T04:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1126,9246492,13451358,,1,,,1126,,,,2021-12-15T05:00:00,2021-12-15T05:00:00,2021-12-15T05:00:00,2021-12-15T05:00:00,None,"{'type': 'MultiPoint', 'coordinates': [[-79.43575700595842, 43.74425500123983]]}"
1127,1130,WILSON AVE,None,WENDELL AVE,None,None,None,1975-08-05T04:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,1127,445383,13455730,,,,,1127,,,,,,2023-12-20T05:00:00,2023-12-20T05:00:00,None,"{'type': 'MultiPoint', 'coordinates': [[-79.5270790059964, 43.71679699970267]]}"
1128,1131,VICTORIA PARK AVE,None,DAWES RD,None,None,None,1974-12-23T05:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,1128,3829272,13456890,1,,,,1128,,,,2020-12-10T05:00:00,2020-12-10T05:00:00,,2020-12-10T05:00:00,None,"{'type': 'MultiPoint', 'coordinates': [[-79.29508499642388, 43.70674799635442]]}"
1129,1132,MARTIN GROVE RD,None,JOHN GARLAND BLVD,None,None,None,1975-06-16T04:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,1129,10144964,13453576,1,,,,1129,,,,2018-07-10T04:00:00,2018-07-10T04:00:00,,,East & West: Crosswalk,"{'type': 'MultiPoint', 'coordinates': [[-79.58942300086773, 43.732022003508426]]}"
1130,1133,MARTIN GROVE RD,None,409 E MARTIN GROVE RAMP,None,None,HWY 409 SOUTH INTERSECTION,1975-10-10T04:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,1130,6044946,13458920,,,,,1130,,1,,,,,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.57376399743498, 43.697946998655404]]}"
1131,1134,MARTIN GROVE RD,None,409 W MARTIN GROVE RAMP,None,None,HWY 409 NORTH INTERSECTION,1975-10-10T04:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,1131,908371,13458507,,,,,1131,,1,,,,,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.57474199532756, 43.70006900116104]]}"
1132,1135,ROYAL YORK RD,None,RENAULT CRES,SUMMITCREST DR,None,None,1975-09-29T04:00:00,TransSuite,None,SA2,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,4,1132,909151,13461037,1,,,,1132,,,,2019-10-24T04:00:00,2019-10-24T04:00:00,2019-10-24T04:00:00,2019-10-24T04:00:00,None,"{'type': 'MultiPoint', 'coordinates': [[-79.52816699705991, 43.685865995912984]]}"
1133,1136,WILLOWDALE AVE,None,EMPRESS AVE,None,None,None,1974-09-13T04:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,1133,438649,13447240,1,,,,1133,,,,2024-05-08T04:00:00,2024-05-08T04:00:00,2024-05-08T04:00:00,2024-05-08T04:00:00,None,"{'type': 'MultiPoint', 'coordinates': [[-79.40283700552392, 43.77148499602272]]}"
1134,1137,DUFFERIN ST,60m NORTH OF,JANE OSLER BLVD,PRIVATE ACCESS,YORKDALE MALL ACCESS/PLAZA PONTIAC,None,1989-09-19T04:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1134,30135986,,,1,,,1134,,,,,,,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.4572600003648, 43.72527999891571]]}"
1135,1138,FINCH AVE E,None,BIRCHMOUNT RD,None,None,None,1975-11-14T05:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,1135,105258,13443562,1,,,,1135,,,,2024-05-10T04:00:00,2024-05-10T04:00:00,2024-05-10T04:00:00,2024-05-10T04:00:00,None,"{'type': 'MultiPoint', 'coordinates': [[-79.30598099515665, 43.798997999518406]]}"
1136,1139,ROYAL YORK RD,None,TREHORNE DR,None,None,None,1974-04-26T04:00:00,TransSuite,None,SA2,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,3,1136,9345161,13460207,1,,,,1136,,,,2019-10-24T04:00:00,2019-10-24T04:00:00,2023-12-21T05:00:00,2023-12-21T05:00:00,"East: None, West: Crosswalk","{'type': 'MultiPoint', 'coordinates': [[-79.53017700616363, 43.690396999204346]]}"
1137,1140,WILSON HEIGHTS BLVD,None,REINER RD,None,None,None,1975-02-07T05:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1137,2006451,13450660,,,,,1137,,,,2023-05-04T04:00:00,2023-05-04T04:00:00,2023-05-04T04:00:00,2023-05-04T04:00:00,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45489700586914, 43.74870099654188]]}"
1138,1141,SHEPPARD AVE E,None,LAPSLEY RD,WASHBURN WAY,None,None,1975-11-20T05:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1138,11533909,13443760,,,,,1138,,,,2021-04-05T04:00:00,2021-04-05T04:00:00,2021-04-05T04:00:00,2021-04-05T04:00:00,Pedestrian crossing ALL crosswalks have LPI implemented as part of 2020 Sheppard Ave East Signal Coordination Study,"{'type': 'MultiPoint', 'coordinates': [[-79.22754199724517, 43.796148001925296]]}"
1139,1142,STEELES AVE E,None,VICTORIA PARK AVE,None,None,None,1975-08-13T04:00:00,SCOOT,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,1139,436101,13442179,1,,,,1139,,,,,,,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.34131699990893, 43.81564999690518]]}"
1140,1143,COLLEGE ST,None,EUCLID AVE,None,None,None,1975-03-10T04:00:00,TransSuite,None,SAP,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,4,1140,7576500,13465882,1,1,,,1140,,,,2023-09-15T04:00:00,2023-09-15T04:00:00,2023-09-15T04:00:00,2023-09-15T04:00:00,2023 College Retiming Retainer,"{'type': 'MultiPoint', 'coordinates': [[-79.41140800136472, 43.65571399921276]]}"
1141,1144,FINCH AVE E,None,CHEROKEE BLVD,None,None,None,1975-11-17T05:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1141,436723,13444260,,1,,,1141,,,,2021-06-09T04:00:00,2021-06-09T04:00:00,2021-06-09T04:00:00,2021-06-09T04:00:00,None,"{'type': 'MultiPoint', 'coordinates': [[-79.33698299536341, 43.7935280023585]]}"
1142,1145,HARBORD ST,None,HURON ST,None,None,None,1975-10-07T04:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1142,14066246,13464619,,,,,1142,,,,2021-01-28T05:00:00,2021-01-28T05:00:00,2021-01-28T05:00:00,2021-01-28T05:00:00,None,"{'type': 'MultiPoint', 'coordinates': [[-79.40008700290417, 43.6634980034511]]}"
1143,1146,SPADINA AVE,None,ST ANDREW ST,None,None,None,1984-10-25T04:00:00,TransSuite,None,SAP,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,3,1143,1144803,13466069,1,1,,,1143,,,,2021-12-22T05:00:00,2021-12-22T05:00:00,,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.39864400271871, 43.65440299621071]]}"
1144,1147,BAYVIEW AVE,None,BAYVIEW MEWS LANE,None,None,None,1975-11-21T05:00:00,SCOOT,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,1144,438867,13447529,1,,,,1144,,,,2018-10-05T04:00:00,,,,"South & West: None, East: Crosswalk","{'type': 'MultiPoint', 'coordinates': [[-79.38866200098985, 43.769379996664014]]}"
1145,1148,ISLINGTON AVE,None,FORDWICH CRES,None,None,None,1976-06-01T04:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,1145,12580404,13454278,,,,,1145,,,,2021-01-04T05:00:00,2021-01-04T05:00:00,,2021-01-04T05:00:00,None,"{'type': 'MultiPoint', 'coordinates': [[-79.56075500456868, 43.72702599600828]]}"
1146,1149,WESTON RD,None,FENMAR DR,None,None,None,1975-01-08T05:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1146,440516,13449519,,,,,1146,,,,,,,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54376199384896, 43.75746600313741]]}"
1147,1150,KINGSTON RD,None,OLD KINGSTON RD,PRIVATE ACCESS,None,None,1989-04-27T04:00:00,SCATS,None,SA2,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,4,1147,5444633,13446432,1,,,,1147,,,,,,2021-06-07T04:00:00,2021-06-07T04:00:00,LPI on Private access/Old Kingston Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.18311700237767, 43.774047002493226]]}"
1148,1151,YONGE ST,None,BISHOP AVE,HENDON AVE,None,None,1975-12-23T05:00:00,SCOOT,None,SA1,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,4,1148,5281661,13445900,1,1,,,1148,,,,,,,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.41600100157565, 43.781637001245855]]}"
1149,1152,KING ST W,None,BLUE JAYS WAY,PETER ST,None,None,1976-05-02T04:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1149,10222742,13467412,,1,,,1149,,,,,,,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.3923279997893, 43.64605400441833]]}"
1150,1153,COLLEGE ST,None,BROCK AVE,None,None,None,1975-11-21T05:00:00,TransSuite,None,SAP,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,4,1150,1145237,13466559,1,1,,,1150,,,,2021-01-22T05:00:00,2021-01-22T05:00:00,2021-01-22T05:00:00,2021-01-22T05:00:00,LPI is in all directions.,"{'type': 'MultiPoint', 'coordinates': [[-79.43635700456403, 43.6518129967416]]}"
1151,1154,COLLEGE ST,None,BORDEN ST,PRIVATE ACCESS,None,None,1975-08-13T04:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1151,2812325,13465664,,1,,,1151,,,,,,,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.40522800430566, 43.65697899840386]]}"
1152,1155,STEELES AVE W,None,NORFINCH DR,400 N FINCH W RAMP,None,HWY 400 N/B OFF RAMP,1975-11-21T05:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1152,7941494,13447223,,,,,1152,,,,,,,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.53177499694856, 43.77331300302653]]}"
1153,1156,ALBION RD,None,SILVERSTONE DR,None,None,None,1975-06-16T04:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1153,906834,13451893,,,,,1153,,,,2024-02-06T05:00:00,2021-04-22T04:00:00,2021-04-22T04:00:00,2021-04-22T04:00:00,None,"{'type': 'MultiPoint', 'coordinates': [[-79.60009400572733, 43.74295200125154]]}"
1154,1157,LAWRENCE AVE W,None,ALLEN X S LAWRENCE E RAMP,LAWRENCE W ALLEN X S RAMP,None,WEST INTERSECTION,1976-04-22T04:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1154,445343,13455699,,,,,1154,,,,2021-01-27T05:00:00,2021-01-27T05:00:00,2021-01-27T05:00:00,2021-01-27T05:00:00,None,"{'type': 'MultiPoint', 'coordinates': [[-79.44498099429337, 43.715939002469625]]}"
1155,1158,LAWRENCE AVE W,None,ALLEN X N LAWRENCE RAMP,LAWRENCE E ALLEN X N RAMP,TTC BUS TERMINAL,EAST INTERSECTION,1976-08-09T04:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,1155,445298,13455626,1,,,,1155,,1,,,,2021-01-27T05:00:00,2021-01-27T05:00:00,None,"{'type': 'MultiPoint', 'coordinates': [[-79.44321800075866, 43.716316004052395]]}"
1156,1159,HIGHWAY 27,None,CARRIER DR,None,None,None,1977-02-14T05:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1156,907198,13452501,,,,,1156,,,,2022-09-28T04:00:00,2022-09-28T04:00:00,,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.60544800143805, 43.73912599951999]]}"
1157,1160,HIGHWAY 27,None,BELFIELD RD,None,None,None,1976-11-17T05:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1157,908471,13458687,,,,,1157,,,,,,,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.58699999550045, 43.69927099724814]]}"
1158,1161,HIGHWAY 27,None,REXDALE BLVD,None,None,None,1980-05-29T04:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1158,907907,13455799,,,,,1158,,1,,,,,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.5956219954485, 43.71726799841774]]}"
1159,1162,HIGHWAY 27,None,HUMBER COLLEGE BLVD,None,None,None,1976-02-06T05:00:00,TransSuite,None,SAP,0.9 m/s (FDW based on full crossing @ 1.1 m/s),None,4,1159,907387,13453882,,,,,1159,,,,,,,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.60144300605626, 43.7304680042665]]}"
1160,1163,HIGHWAY 27,None,FINCH AVE W,None,None,None,1976-08-06T04:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1160,907387,13453246,,1,,,1160,,,,,,,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.60308699604157, 43.7341690007891]]}"
1161,1164,HIGHWAY 27,None,ALBION RD,None,None,None,1976-05-26T04:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,1161,906809,13451705,,,,,1161,,,,,,,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.60755700010453, 43.744280003058996]]}"
